number,name,url,description,desc_url,airdate
665,Before Things Went to Hell,https://podcast.thisamericanlife.org/podcast/665.mp3,"We revisit those moments of calm before the storm, when things could have gone very differently, but instead, they went to hell.",https://tal.fm/665,"Sun, 13 Jan 2019 18:00:00 -0500"
665,Before Things Went to Hell,https://www.podtrac.com/pts/redirect.mp3/dovetail.prxu.org/188/f07f993c-de02-426b-b426-5328fe8eb950/665.mp3,"We revisit those moments of calm before the storm, when things could have gone very differently, but instead, they went to hell.",https://tal.fm/665,"Sun, 13 Jan 2019 18:00:00 -0500"
664,The Room of Requirement,https://www.podtrac.com/pts/redirect.mp3/dovetail.prxu.org/188/d9e97142-4835-470f-97e9-67643affc2a7/664.mp3,"Libraries aren't just for books. They're often spaces that transform into what you need them to be: a classroom, a cyber café, a place to find answers, a quiet spot to be alone. It's actually kind of magical. This week, we have stories of people who roam the stacks and find unexpected things that just happen to be exactly what they required.",https://tal.fm/664,"Sun, 30 Dec 2018 18:00:00 -0500"
664,The Room of Requirement,https://podcast.thisamericanlife.org/podcast/664.mp3,"Libraries aren't just for books. They're often spaces that transform into what you need them to be: a classroom, a cyber café, a place to find answers, a quiet spot to be alone. It's actually kind of magical. This week, we have stories of people who roam the stacks and find unexpected things that just happen to be exactly what they required.",https://tal.fm/664,"Sun, 30 Dec 2018 18:00:00 -0500"
664,The Room of Requirement,https://stream.thisamericanlife.org/podcast/664.mp3,"Libraries aren't just for books. They're often spaces that transform into what you need them to be: a classroom, a cyber café, a place to find answers, a quiet spot to be alone. It's actually kind of magical. This week, we have stories of people who roam the stacks and find unexpected things that just happen to be exactly what they required.",https://tal.fm/664,"Sun, 30 Dec 2018 18:00:00 -0500"
663,How I Read It,https://stream.thisamericanlife.org/podcast/663.mp3,"Documents you don't normally think of, showing you things you didn't expect.",https://tal.fm/663,"Sun, 09 Dec 2018 18:00:00 -0500"
663,How I Read It,https://www.podtrac.com/pts/redirect.mp3/dovetail.prxu.org/188/81e498cf-28b9-493d-8d8c-4d04626c7a52/663.mp3,"Documents you don't normally think of, showing you things you didn't expect.",https://tal.fm/663,"Sun, 09 Dec 2018 18:00:00 -0500"
663,How I Read It,https://podcast.thisamericanlife.org/podcast/663.mp3,"Documents you don't normally think of, showing you things you didn't expect.",https://tal.fm/663,"Sun, 09 Dec 2018 18:00:00 -0500"
662,Where There Is a Will,https://dovetail.prxu.org/188/9ec5b74e-942c-4f13-9e29-7637840c0452/662.mp3,Stories of people who believe there is always a way. And also those who don’t.,https://tal.fm/662,"Sun, 18 Nov 2018 18:00:00 -0500"
662,Where There Is a Will,https://www.podtrac.com/pts/redirect.mp3/dovetail.prxu.org/188/9ec5b74e-942c-4f13-9e29-7637840c0452/662.mp3,Stories of people who believe there is always a way. And also those who don’t.,https://tal.fm/662,"Sun, 18 Nov 2018 18:00:00 -0500"
